converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
53,60,169,200,59,304
73,49,331,200,47,326
87,59,301,200,57,309
53,60,319,200,60,310
56,63,178,200,62,305
73,71,257,200,68,272
106,45,347,200,43,344
62,70,263,200,68,263
66,69,291,200,68,265
51,60,232,200,59,297
148,57,214,200,57,305
112,60,290,200,58,304
61,68,76,200,68,289
70,55,231,200,54,309
60,61,299,200,57,285
81,66,281,200,62,278
94,60,175,200,60,266
64,65,291,200,62,313
80,77,250,200,73,262
82,57,300,200,57,314
90,66,282,200,63,309
84,60,205,200,60,294
61,66,29,200,65,304
88,65,280,200,58,305
66,75,251,200,73,284
65,70,283,200,68,266
95,60,219,200,59,304
68,61,285,200,57,302
75,80,265,200,78,261
61,55,240,200,54,305
83,60,300,200,59,315
100,59,307,200,59,293
79,80,251,200,78,251
61,68,91,200,68,293
56,63,151,200,63,276
61,68,120,200,68,264
157,63,267,200,63,276
61,69,119,200,68,294
117,63,291,200,63,303
90,56,227,200,56,211
110,65,140,200,63,272
71,60,315,200,57,297
61,66,80,200,65,305
80,68,262,200,68,293
114,59,308,200,57,303
75,71,271,200,68,280
48,53,304,200,52,329
51,58,296,200,58,317
92,55,152,200,52,313
73,72,276,200,68,283
90,55,212,200,54,305
54,54,319,200,52,324
71,55,220,200,54,299
92,65,283,200,62,288
123,73,270,200,73,268
