converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
,,,100,10000,0
,,,100,10000,0
35,42,361,100,38,359
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
36,44,45,100,40,379
40,47,366,100,37,391
53,57,129,100,45,375
47,54,265,100,41,354
41,49,71,100,38,367
46,53,79,100,45,366
41,50,146,100,35,390
38,47,378,100,36,365
41,48,54,100,44,387
39,45,392,100,34,387
58,56,115,100,43,375
92,87,377,100,80,366
,,,100,10000,0
37,44,105,100,36,373
41,51,375,100,39,367
,,,100,10000,0
,,,100,10000,0
46,57,370,100,43,5
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,49,94,100,39,384
42,52,356,100,39,375
59,57,351,100,45,369
36,46,95,100,39,390
54,55,171,100,42,375
,,,100,10000,0
65,56,383,100,53,388
87,80,404,100,72,373
,,,100,10000,0
36,43,36,100,35,373
84,86,76,100,70,349
42,52,330,100,34,401
41,51,338,100,45,356
42,51,360,100,33,385
49,54,74,100,42,362
71,79,54,100,68,379
37,46,381,100,37,390
45,49,76,100,35,383
36,44,62,100,35,380
44,52,395,100,41,380
,,,100,10000,0
,,,100,10000,0
39,47,353,100,40,361
,,,100,10000,0
,,,100,10000,0
39,46,180,100,39,383
,,,100,10000,0
45,50,104,100,38,380
42,51,376,100,38,374
43,51,224,100,37,378
46,56,252,100,40,340
36,43,57,100,39,383
36,43,32,100,37,386
36,44,154,100,38,358
41,51,197,100,42,395
47,56,177,100,45,353
39,46,363,100,38,382
39,47,356,100,38,393
,,,100,10000,0
36,45,115,100,34,384
35,41,376,100,35,367
58,57,188,100,43,364
,,,100,10000,0
38,46,358,100,33,384
32,42,388,100,34,388
67,77,299,100,51,5
42,52,360,100,40,381
