converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
55,62,305,100,59,317
70,67,273,100,56,304
46,56,164,100,56,318
51,60,76,100,56,317
56,63,68,100,57,354
51,61,298,100,54,317
46,54,141,100,50,330
51,58,27,100,54,336
51,58,40,100,56,314
42,52,314,100,47,338
49,53,193,100,50,326
42,52,326,100,47,366
51,59,31,100,57,333
54,59,130,100,55,305
56,60,7,100,56,353
51,58,113,100,54,320
51,59,30,100,56,341
64,70,311,100,50,346
49,56,123,100,55,336
48,57,321,100,50,349
51,62,315,100,58,327
46,56,129,100,54,333
51,60,67,100,57,304
48,57,318,100,56,330
51,58,99,100,55,318
56,63,21,100,59,325
46,56,239,100,54,325
61,68,11,100,65,283
51,62,328,100,57,324
56,66,153,100,56,328
55,60,316,100,54,330
51,62,298,100,56,327
51,59,88,100,56,303
51,62,311,100,57,330
54,62,309,100,57,301
59,67,306,100,50,333
55,62,318,100,55,334
52,60,307,100,57,312
51,60,44,100,54,315
51,59,99,100,57,324
51,60,101,100,58,329
51,58,72,100,55,307
51,61,111,100,57,295
49,57,314,100,56,320
48,57,331,100,55,309
56,51,12,100,50,323
53,62,302,100,55,337
50,57,321,100,55,312
52,62,310,100,59,300
54,50,81,100,45,346
52,62,295,100,55,309
46,55,94,100,55,312
47,57,313,100,55,322
59,67,292,100,63,311
51,58,35,100,56,312
49,57,300,100,55,322
51,60,120,100,58,1
56,63,122,100,56,298
51,59,103,100,57,321
55,62,340,100,57,331
52,62,346,100,56,344
51,58,109,100,58,314
51,60,53,100,54,336
56,64,31,100,59,306
