converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
,,,100,10000,0
45,52,362,100,42,352
43,48,210,100,40,15
,,,100,10000,0
45,50,375,100,42,353
,,,100,10000,0
46,54,30,100,43,353
44,52,369,100,41,382
41,52,365,100,39,365
37,45,124,100,39,384
,,,100,10000,0
,,,100,10000,0
46,54,70,100,43,364
,,,100,10000,0
41,48,83,100,40,370
,,,100,10000,0
43,52,366,100,40,369
33,42,342,100,36,382
36,45,35,100,39,377
,,,100,10000,0
41,48,39,100,35,391
38,46,145,100,36,396
46,54,108,100,41,360
80,83,342,100,71,3
41,51,399,100,41,395
36,47,365,100,36,367
,,,100,10000,0
40,47,387,100,39,392
38,46,352,100,37,367
53,56,120,100,43,375
40,47,355,100,37,369
36,41,15,100,37,396
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
36,47,362,100,39,377
40,47,375,100,40,377
41,50,28,100,40,379
41,48,32,100,39,372
,,,100,10000,0
,,,100,10000,0
44,52,358,100,38,364
62,58,376,100,42,389
40,47,365,100,39,378
33,41,272,100,37,387
,,,100,10000,0
,,,100,10000,0
56,57,189,100,42,377
41,52,365,100,35,383
57,55,143,100,41,365
36,46,90,100,36,383
42,51,368,100,40,365
44,51,200,100,41,363
42,51,363,100,35,388
,,,100,10000,0
41,50,188,100,46,377
36,44,78,100,35,392
,,,100,10000,0
46,53,48,100,33,378
49,56,359,100,41,356
,,,100,10000,0
,,,100,10000,0
49,57,373,100,42,368
41,50,146,100,39,379
41,52,363,100,38,366
46,53,75,100,42,399
,,,100,10000,0
51,56,192,100,40,382
79,83,343,100,70,367
46,53,8,100,42,351
,,,100,10000,0
32,42,363,100,35,377
39,47,360,100,39,372
41,51,265,100,45,371
40,47,389,100,41,373
51,58,180,100,55,381
39,47,370,100,38,402
34,42,371,100,36,387
68,77,340,100,67,356
87,86,339,100,67,4
50,55,256,100,41,1
36,42,209,100,35,390
,,,100,10000,0
39,47,368,100,36,382
71,82,319,100,68,341
46,56,164,100,40,391
66,73,52,100,62,315
45,52,371,100,42,384
36,46,186,100,38,385
43,52,393,100,35,391
41,50,110,100,43,368
,,,100,10000,0
,,,100,10000,0
39,47,385,100,35,394
,,,100,10000,0
36,47,363,100,37,387
54,54,352,100,46,366
54,57,123,100,42,5
,,,100,10000,0
76,81,9,100,63,396
,,,100,10000,0
45,52,373,100,41,384
