converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
76,39,364,100,39,409
42,40,384,100,39,385
33,39,314,100,39,396
39,39,291,100,39,399
48,40,374,100,39,404
69,39,373,100,39,401
41,39,365,100,39,404
37,40,380,100,39,397
36,40,354,100,39,404
36,40,347,100,39,383
55,42,386,100,39,380
38,39,296,100,39,398
32,39,213,100,39,401
33,41,369,100,39,386
35,39,376,100,39,403
61,41,307,100,39,401
40,41,393,100,39,394
60,64,367,100,64,376
52,39,302,100,39,408
36,39,377,100,39,395
35,39,329,100,39,397
42,39,303,100,39,404
33,39,315,100,39,395
43,39,148,100,39,386
31,41,385,100,39,410
48,39,407,100,39,402
38,41,334,100,39,406
37,39,194,100,39,417
40,40,391,100,39,399
43,40,378,100,39,419
39,40,133,100,39,385
39,40,374,100,39,391
34,40,382,100,39,398
44,39,372,100,39,401
33,39,372,100,39,413
61,40,365,100,39,402
36,39,336,100,39,420
60,40,383,100,39,389
43,39,168,100,39,399
38,39,257,100,39,409
34,39,216,100,39,405
41,41,354,100,39,378
45,39,359,100,39,377
45,40,367,100,39,399
31,39,371,100,39,391
48,39,297,100,39,397
38,40,369,100,39,391
47,39,376,100,39,418
49,39,335,100,39,402
40,39,391,100,39,397
31,39,186,100,39,388
33,41,376,100,39,393
39,41,373,100,39,407
46,39,406,100,39,411
35,39,382,100,39,410
