converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
38,137,239,100,96,412
71,142,354,100,137,358
,,,100,10000,0
26,119,340,100,101,1
31,141,183,100,121,405
23,115,18,100,101,404
20,101,309,100,82,384
77,142,348,100,141,302
25,132,356,100,118,407
,,,100,10000,0
94,137,292,100,129,375
19,102,331,100,94,410
25,132,373,100,95,387
27,134,7,100,118,373
44,142,325,100,136,416
23,114,34,100,96,360
23,116,45,100,93,427
65,142,373,100,136,427
25,129,93,100,108,343
26,127,153,100,97,377
,,,100,10000,0
25,132,340,100,103,420
39,142,330,100,137,391
27,134,60,100,98,363
25,130,56,100,98,384
21,112,307,100,105,407
59,140,264,100,124,308
62,142,271,100,137,397
55,142,256,100,139,350
21,107,60,100,83,416
22,112,314,100,96,415
25,123,82,100,110,316
17,88,182,100,78,390
36,142,369,100,129,432
17,90,276,100,70,5
27,135,26,100,119,409
27,135,40,100,110,368
82,142,275,100,142,346
58,142,295,100,128,388
27,133,185,100,107,389
27,133,16,100,108,406
28,138,199,100,81,384
53,142,296,100,138,385
70,142,269,100,113,322
25,128,82,100,92,380
27,133,12,100,103,2
23,114,96,100,92,376
,,,100,10000,0
25,130,355,100,113,400
28,141,338,100,127,388
23,119,110,100,110,389
17,86,42,100,73,396
24,119,47,100,105,380
23,121,174,100,109,391
65,142,298,100,124,395
23,117,65,100,97,404
48,141,277,100,123,3
35,142,403,100,130,429
17,84,14,100,75,283
