converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
116,81,282,200,78,245
78,87,251,200,84,265
99,68,277,200,68,280
105,60,203,200,59,307
66,66,274,200,63,270
62,70,270,200,68,259
74,65,298,200,63,287
135,71,285,200,68,293
103,61,285,200,57,315
61,68,277,200,68,272
63,61,293,200,54,298
56,58,298,200,57,303
67,67,208,200,63,298
98,65,132,200,62,307
107,65,266,200,65,299
76,58,301,200,57,310
78,59,153,200,54,310
106,64,282,200,63,286
101,49,179,200,47,338
105,53,322,200,52,317
86,65,303,200,62,306
61,69,45,200,68,282
108,60,111,200,60,283
66,66,280,200,62,300
83,72,214,200,68,290
106,80,268,200,78,236
76,63,294,200,62,286
59,61,215,200,54,331
84,58,160,200,58,299
60,65,300,200,65,312
73,54,106,200,52,323
67,67,278,200,62,279
66,73,128,200,73,267
61,68,78,200,68,290
63,57,307,200,57,301
70,71,268,200,65,307
87,70,279,200,63,310
61,59,168,200,57,299
67,67,277,200,62,304
77,69,253,200,69,269
65,60,321,200,54,302
73,66,286,200,65,304
58,53,188,200,52,303
80,66,288,200,62,286
137,47,185,200,47,338
84,64,300,200,63,288
113,64,296,200,63,277
99,52,154,200,52,311
148,44,136,200,44,331
80,68,256,200,68,266
75,54,163,200,54,315
61,68,188,200,68,283
71,65,273,200,62,280
94,81,274,200,79,255
