converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
27,139,120,100,116,325
,,,100,10000,0
48,141,327,100,130,3
27,132,9,100,117,322
34,142,302,100,83,367
61,142,355,100,128,7
25,123,16,100,102,375
27,133,24,100,120,363
21,110,386,100,93,396
25,130,219,100,116,125
21,107,61,100,88,358
29,142,218,100,113,395
,,,100,10000,0
27,134,48,100,117,367
38,142,326,100,137,356
35,142,351,100,122,391
,,,100,10000,0
19,101,364,100,88,330
25,126,50,100,106,380
23,112,27,100,96,420
34,142,400,100,114,447
42,142,321,100,137,380
21,105,59,100,65,392
25,126,22,100,104,2
23,116,61,100,102,388
23,116,43,100,89,387
,,,100,10000,0
23,122,343,100,97,391
,,,100,10000,0
27,137,47,100,127,399
28,140,30,100,127,410
37,140,411,100,131,375
,,,100,10000,0
23,120,202,100,107,408
32,142,345,100,115,385
25,123,66,100,111,336
45,136,89,100,122,388
25,129,185,100,106,386
23,121,144,100,95,388
19,99,188,100,83,353
28,140,243,100,126,386
21,108,54,100,95,369
25,128,77,100,115,316
95,142,250,100,142,271
25,130,83,100,113,308
21,111,277,100,92,373
21,112,395,100,84,381
27,133,11,100,113,414
27,139,76,100,118,422
66,138,283,100,121,368
96,142,383,100,142,377
21,106,69,100,88,378
23,112,36,100,88,380
23,116,38,100,112,419
33,142,396,100,121,385
27,130,5,100,109,379
17,81,25,100,73,328
21,106,67,100,89,363
26,129,200,100,114,21
23,115,25,100,95,378
23,113,181,100,83,361
