converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
51,58,28,100,55,326
51,61,102,100,55,326
56,59,55,100,46,364
61,65,4,100,59,329
51,60,111,100,56,343
56,63,24,100,56,305
55,62,332,100,57,330
56,63,38,100,58,293
51,57,10,100,55,309
56,64,53,100,58,304
52,52,317,100,47,339
45,50,175,100,50,323
46,57,306,100,54,315
46,55,171,100,54,337
56,65,164,100,62,325
46,56,112,100,54,323
52,62,305,100,62,317
52,61,211,100,54,332
51,60,71,100,59,316
51,62,311,100,55,318
41,49,158,100,47,368
66,76,162,100,57,304
51,62,308,100,59,315
51,59,62,100,56,343
56,66,318,100,55,334
57,67,292,100,63,317
51,60,150,100,57,299
56,62,4,100,59,300
51,59,217,100,56,315
53,62,321,100,57,310
61,69,103,100,59,303
50,55,308,100,49,329
56,67,306,100,65,324
51,60,124,100,58,325
56,63,191,100,62,313
56,64,124,100,62,304
56,63,94,100,57,336
51,60,168,100,59,304
46,57,330,100,56,326
53,62,343,100,56,346
51,61,139,100,56,314
51,57,10,100,57,332
48,57,302,100,55,298
56,64,80,100,63,314
46,57,316,100,55,322
56,63,157,100,54,329
56,63,21,100,58,300
51,58,65,100,55,303
54,62,320,100,61,328
51,60,74,100,56,320
61,70,307,100,64,347
56,67,311,100,58,323
61,71,157,100,57,319
46,52,11,100,46,371
56,63,165,100,57,305
56,63,83,100,56,340
47,57,325,100,55,301
56,63,37,100,59,314
52,61,175,100,57,336
54,62,304,100,57,303
51,61,132,100,55,315
51,60,80,100,58,296
