converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
46,57,283,100,57,318
61,69,60,100,50,343
51,62,309,100,59,323
51,59,120,100,55,324
44,52,313,100,50,321
58,67,273,100,57,296
51,58,122,100,56,322
50,57,316,100,47,353
54,62,288,100,58,306
46,56,173,100,55,319
48,56,301,100,46,356
51,62,290,100,58,306
56,64,277,100,54,315
51,60,53,100,58,322
46,54,46,100,54,320
51,60,109,100,55,333
56,61,3,100,61,301
51,62,308,100,54,321
53,62,291,100,57,309
51,59,103,100,58,323
51,59,55,100,55,328
51,60,127,100,57,301
52,62,305,100,56,300
51,62,314,100,56,311
51,62,314,100,50,339
51,61,39,100,57,328
46,55,115,100,55,330
51,59,39,100,58,318
41,47,7,100,46,374
50,57,301,100,46,333
51,59,105,100,58,324
49,57,293,100,56,331
50,57,298,100,56,321
51,59,18,100,56,318
56,64,42,100,57,320
51,58,193,100,56,327
51,60,146,100,56,324
47,57,299,100,55,315
54,62,300,100,58,317
51,59,49,100,55,338
47,57,298,100,57,339
48,57,303,100,47,350
41,49,65,100,45,347
43,51,315,100,49,345
51,60,116,100,48,343
51,61,135,100,56,334
51,62,280,100,55,318
56,67,279,100,54,318
51,58,132,100,57,322
56,63,27,100,57,313
51,59,46,100,56,320
51,59,55,100,58,321
46,55,39,100,55,333
51,52,19,100,49,356
56,64,23,100,58,303
51,58,56,100,56,318
