converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
83,61,278,200,57,288
69,50,296,200,49,309
51,58,103,200,57,290
75,60,268,200,57,307
60,60,96,200,60,301
77,61,272,200,59,320
85,72,163,200,68,290
102,70,239,200,70,264
54,60,190,200,59,304
61,69,129,200,65,300
65,60,270,200,59,306
56,63,272,200,63,289
76,56,201,200,56,232
87,80,249,200,75,269
78,66,275,200,63,273
54,60,261,200,60,307
62,66,256,200,62,293
76,51,226,200,51,231
69,54,271,200,54,322
96,58,263,200,57,305
82,70,234,200,68,253
59,60,277,200,60,306
132,56,289,200,53,339
135,61,293,200,59,302
130,56,197,200,54,287
54,58,141,200,57,314
114,59,262,200,58,320
100,58,277,200,58,293
78,54,283,200,54,307
86,48,280,200,47,322
57,65,276,200,63,284
51,61,195,200,57,291
51,58,15,200,57,306
62,53,102,200,53,321
61,71,249,200,68,275
128,71,271,200,68,268
105,55,212,200,54,310
63,65,254,200,65,286
56,65,259,200,65,290
63,60,279,200,54,306
55,61,201,200,59,293
113,66,224,200,63,284
51,61,294,200,58,308
75,69,246,200,68,283
70,75,248,200,75,276
74,61,199,200,57,298
60,65,252,200,65,284
103,60,117,200,59,291
64,63,264,200,62,291
61,70,142,200,68,264
86,60,280,200,60,276
108,54,266,200,54,312
81,56,243,200,52,322
66,65,144,200,62,291
