converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
43,39,331,100,39,406
66,68,374,100,67,333
34,39,234,100,39,384
39,39,218,100,39,394
36,39,345,100,39,416
37,39,276,100,39,391
45,39,350,100,39,377
46,41,400,100,39,402
34,39,307,100,39,387
32,39,325,100,39,388
34,40,414,100,40,405
38,41,381,100,39,382
69,39,326,100,39,395
73,42,257,100,40,407
42,40,400,100,39,406
39,39,314,100,39,397
37,39,305,100,39,393
37,39,311,100,39,406
43,40,386,100,39,386
36,39,409,100,39,403
47,39,322,100,39,399
47,41,405,100,39,382
31,39,316,100,39,390
45,40,402,100,39,410
48,41,400,100,39,411
35,39,329,100,39,411
62,42,389,100,39,390
60,40,380,100,39,377
31,39,433,100,39,431
37,39,404,100,39,394
38,40,387,100,39,400
38,40,391,100,39,389
37,39,344,100,39,406
39,39,333,100,39,388
39,41,388,100,39,404
38,39,392,100,39,400
41,39,403,100,39,403
43,39,223,100,39,380
40,40,403,100,39,397
34,39,396,100,39,405
35,39,365,100,39,383
38,39,352,100,39,396
37,41,200,100,39,409
32,39,394,100,39,391
42,39,209,100,39,395
34,39,340,100,39,400
91,65,310,100,64,394
43,40,399,100,39,389
37,39,318,100,39,384
32,41,391,100,39,390
34,39,373,100,39,399
39,40,399,100,39,393
34,39,409,100,39,407
52,39,298,100,39,386
34,39,375,100,39,401
37,39,304,100,39,411
31,39,236,100,39,405
