converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
36,40,351,100,39,420
36,39,155,100,39,399
38,39,279,100,39,406
45,42,330,100,39,395
37,40,367,100,39,392
75,39,337,100,39,366
34,39,198,100,39,406
39,39,302,100,39,409
64,39,381,100,39,403
58,39,296,100,39,388
36,39,190,100,39,391
39,40,371,100,39,403
38,39,285,100,39,394
33,40,342,100,39,407
49,39,176,100,39,394
35,39,118,100,39,384
38,39,327,100,39,402
39,39,366,100,39,398
46,40,351,100,39,395
38,39,273,100,39,402
48,39,294,100,39,387
33,39,184,100,39,392
40,39,291,100,39,383
38,39,376,100,39,421
51,39,321,100,39,411
79,65,351,100,65,388
38,39,240,100,39,391
50,39,286,100,39,411
56,39,361,100,39,406
36,39,272,100,39,409
57,39,199,100,39,380
47,39,347,100,39,399
58,39,355,100,39,398
50,39,142,100,39,404
37,44,252,100,39,379
36,42,360,100,39,413
37,40,349,100,39,389
39,39,169,100,39,401
38,39,364,100,39,430
53,39,203,100,39,411
38,42,358,100,39,393
32,40,351,100,39,357
41,40,360,100,39,404
43,39,189,100,39,380
44,39,353,100,39,405
31,39,312,100,39,398
40,39,216,100,39,404
31,41,374,100,39,403
31,42,372,100,39,388
45,41,362,100,39,396
37,39,242,100,39,374
31,39,287,100,39,415
41,40,340,100,39,410
34,39,269,100,39,414
43,39,365,100,39,412
39,39,293,100,39,410
32,39,97,100,39,382
63,40,318,100,39,392
