converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
36,44,165,100,38,356
37,45,263,100,38,357
41,50,198,100,38,381
83,87,319,100,70,7
45,51,343,100,41,370
,,,100,10000,0
36,43,75,100,35,376
,,,100,10000,0
94,88,338,100,73,9
64,57,340,100,43,352
40,47,321,100,37,371
46,52,22,100,39,370
43,50,108,100,37,381
41,52,330,100,39,401
37,43,205,100,35,390
,,,100,10000,0
33,42,350,100,36,369
36,45,80,100,39,396
,,,100,10000,0
100,87,319,100,87,319
,,,100,10000,0
33,42,371,100,34,394
36,47,326,100,38,397
41,48,86,100,42,380
41,49,91,100,38,346
,,,100,10000,0
51,58,217,100,50,360
72,80,334,100,74,364
,,,100,10000,0
41,50,166,100,34,392
,,,100,10000,0
41,52,349,100,35,364
41,49,60,100,40,357
99,88,347,100,84,13
38,46,355,100,39,372
90,85,294,100,72,325
39,47,344,100,37,374
36,44,26,100,35,378
,,,100,10000,0
36,45,79,100,34,373
42,52,341,100,39,385
41,50,110,100,36,387
,,,100,10000,0
39,46,355,100,34,397
37,47,340,100,40,362
36,44,77,100,38,376
51,55,30,100,42,382
80,79,350,100,67,5
41,49,14,100,38,4
41,50,110,100,42,356
41,48,18,100,40,361
38,47,383,100,36,378
34,41,344,100,34,385
41,50,39,100,40,379
36,44,85,100,37,373
,,,100,10000,0
36,45,89,100,38,379
41,48,48,100,39,3
,,,100,10000,0
45,51,326,100,43,375
34,42,368,100,36,381
45,51,329,100,40,357
34,42,346,100,34,378
46,52,22,100,39,369
64,59,317,100,53,374
41,48,366,100,41,369
37,46,340,100,39,382
37,47,362,100,33,375
