converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
21,108,137,100,89,418
21,104,60,100,66,378
23,114,32,100,99,339
23,115,29,100,84,402
71,137,208,100,113,406
25,123,73,100,108,392
27,135,35,100,108,400
27,133,26,100,109,387
46,142,368,100,135,419
,,,100,10000,0
20,102,321,100,97,379
29,142,366,100,124,354
27,140,182,100,125,400
25,130,374,100,120,403
59,142,354,100,131,372
23,115,18,100,99,387
,,,100,10000,0
32,140,324,100,114,345
25,121,364,100,108,364
17,84,57,100,72,404
31,137,72,100,115,399
27,137,36,100,98,345
30,140,132,100,117,351
25,124,17,100,97,52
25,130,379,100,104,375
25,128,158,100,98,408
23,122,337,100,109,402
22,110,343,100,86,383
25,125,66,100,98,373
26,132,332,100,96,396
79,142,337,100,136,2
27,135,53,100,116,418
,,,100,10000,0
26,131,368,100,105,368
23,117,67,100,95,398
19,100,169,100,76,400
25,124,72,100,101,351
,,,100,10000,0
19,102,430,100,84,355
22,112,327,100,80,399
25,125,30,100,115,390
63,142,366,100,127,306
23,118,123,100,104,400
27,141,191,100,126,383
21,104,130,100,89,390
25,129,86,100,116,375
22,111,364,100,88,371
23,112,11,100,87,398
19,96,70,100,85,375
47,142,304,100,136,369
40,142,381,100,134,349
74,142,416,100,139,384
27,141,403,100,102,390
25,126,35,100,112,395
23,118,139,100,91,405
27,141,159,100,126,383
27,135,43,100,114,351
41,142,311,100,142,395
21,97,12,100,80,387
25,122,29,100,97,391
26,131,26,100,104,434
75,142,350,100,141,401
