converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
23,119,230,100,103,383
32,142,371,100,118,342
17,87,188,100,75,389
66,142,429,100,128,17
53,141,181,100,138,369
38,142,360,100,127,377
25,120,25,100,99,392
56,141,381,100,128,394
,,,100,10000,0
25,126,33,100,68,383
,,,100,10000,0
25,125,30,100,107,392
36,142,405,100,103,396
28,140,437,100,125,128
27,139,153,100,120,369
26,132,345,100,80,369
25,131,347,100,101,389
19,100,288,100,87,372
21,103,247,100,88,374
27,141,297,100,101,335
27,138,57,100,118,364
25,132,410,100,117,410
23,122,369,100,101,433
27,137,51,100,122,375
31,141,60,100,107,387
52,142,363,100,110,408
23,114,73,100,89,367
52,142,329,100,130,377
21,105,68,100,88,429
37,141,259,100,125,382
37,138,117,100,85,374
,,,100,10000,0
25,125,38,100,116,387
28,141,143,100,125,415
,,,100,10000,0
71,142,371,100,139,370
42,142,397,100,127,4
27,133,114,100,123,388
30,141,173,100,114,351
35,142,319,100,131,389
27,134,70,100,91,374
25,123,125,100,98,392
25,122,8,100,106,394
27,134,35,100,108,349
,,,100,10000,0
27,135,45,100,114,408
25,124,13,100,113,15
36,142,365,100,118,345
58,142,348,100,136,5
23,111,6,100,98,404
20,100,312,100,93,406
23,120,113,100,109,397
25,126,26,100,115,402
23,113,151,100,78,3
32,142,390,100,126,376
25,123,23,100,107,1
27,133,15,100,105,362
42,140,93,100,129,321
,,,100,10000,0
51,141,396,100,105,211
