converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
41,51,124,100,35,2
84,83,346,100,77,305
37,47,321,100,39,368
92,86,335,100,78,344
36,44,37,100,35,369
36,44,188,100,39,415
35,42,324,100,34,383
,,,100,10000,0
41,50,60,100,41,369
36,47,361,100,37,389
36,47,323,100,38,336
41,48,36,100,36,401
38,47,321,100,39,391
,,,100,10000,0
41,48,76,100,39,378
41,49,55,100,33,368
44,52,360,100,42,373
41,49,165,100,39,360
36,46,123,100,35,391
41,52,334,100,41,348
36,45,70,100,39,376
,,,100,10000,0
,,,100,10000,0
36,44,81,100,38,378
38,47,321,100,35,385
,,,100,10000,0
38,46,336,100,38,369
36,45,72,100,38,366
,,,100,10000,0
37,47,320,100,36,371
,,,100,10000,0
,,,100,10000,0
31,40,344,100,37,392
37,46,335,100,38,372
36,46,172,100,33,365
37,47,315,100,38,371
40,47,340,100,37,358
34,40,326,100,36,3
41,49,177,100,42,381
41,48,16,100,38,389
,,,100,10000,0
33,42,333,100,34,385
36,42,8,100,38,370
36,42,15,100,33,388
41,50,61,100,33,401
40,47,333,100,40,400
41,50,188,100,36,392
41,48,66,100,43,390
36,47,345,100,37,369
36,44,24,100,36,372
66,77,294,100,64,371
,,,100,10000,0
39,47,330,100,37,372
46,57,319,100,42,365
38,47,323,100,41,380
44,52,312,100,42,387
51,59,316,100,37,358
31,38,7,100,34,389
36,45,109,100,37,368
36,45,140,100,38,374
39,47,321,100,40,370
41,46,21,100,39,388
32,42,315,100,35,382
,,,100,10000,0
36,47,317,100,38,371
36,43,9,100,38,360
