converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
93,68,165,200,68,275
117,53,311,200,52,304
81,60,292,200,57,295
61,69,39,200,68,300
86,60,269,200,59,310
68,69,278,200,68,289
98,54,316,200,52,305
108,54,290,200,54,293
158,71,262,200,69,282
96,66,265,200,63,296
61,59,173,200,59,326
64,68,261,200,57,306
92,70,267,200,68,270
62,61,192,200,61,206
68,57,305,200,57,319
56,63,226,200,62,299
68,65,275,200,63,312
60,56,262,200,52,320
79,55,303,200,54,309
64,71,113,200,68,282
148,66,264,200,62,290
101,61,163,200,57,308
65,66,149,200,62,304
59,65,276,200,64,306
70,69,270,200,68,275
95,70,274,200,68,272
66,55,300,200,54,305
57,55,309,200,54,330
123,70,258,200,68,288
67,55,153,200,54,325
83,59,160,200,57,298
95,54,296,200,54,296
82,49,314,200,48,317
73,66,269,200,63,273
75,70,157,200,68,271
101,65,295,200,63,304
56,63,165,200,60,306
86,54,205,200,54,321
117,76,207,200,75,240
75,72,254,200,68,273
58,66,280,200,65,259
79,84,220,200,84,253
58,66,285,200,62,293
74,77,235,200,73,279
62,70,258,200,68,271
105,77,194,200,73,262
129,61,300,200,57,1
71,61,279,200,57,289
54,59,295,200,58,302
52,59,143,200,58,289
68,60,283,200,57,307
62,60,288,200,57,306
59,53,298,200,52,301
95,55,294,200,54,309
75,60,276,200,58,275
