converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
59,39,330,100,39,381
63,39,270,100,39,357
38,39,409,100,39,423
31,39,336,100,39,396
79,39,146,100,39,372
46,40,397,100,39,404
42,41,397,100,39,397
64,41,374,100,39,402
33,39,288,100,39,379
41,40,398,100,39,416
44,41,410,100,39,370
34,39,408,100,39,425
37,40,388,100,39,401
34,40,398,100,39,402
57,41,396,100,39,399
35,40,292,100,39,386
34,40,411,100,39,418
49,39,367,100,39,411
56,39,182,100,39,396
41,39,382,100,39,405
35,39,398,100,39,414
31,40,399,100,39,386
32,41,294,100,39,394
58,39,383,100,39,404
45,39,185,100,39,387
56,39,384,100,39,369
33,41,371,100,39,379
64,65,370,100,65,354
43,42,273,100,39,394
41,41,386,100,39,401
32,39,307,100,39,378
36,44,373,100,39,393
37,41,382,100,39,397
46,41,296,100,39,354
31,39,419,100,39,401
37,39,392,100,39,390
40,39,339,100,39,412
35,40,399,100,39,412
52,39,416,100,39,414
54,40,397,100,39,407
45,39,204,100,39,399
34,39,418,100,39,414
38,39,171,100,39,381
32,39,328,100,39,391
32,39,421,100,39,413
34,40,404,100,40,385
64,66,297,100,64,378
35,39,293,100,39,397
37,39,402,100,39,398
48,39,224,100,39,404
36,43,388,100,39,353
69,65,252,100,64,357
48,39,391,100,39,399
34,41,414,100,39,416
42,41,395,100,39,410
56,39,381,100,39,397
37,39,209,100,39,379
32,41,413,100,39,380
45,39,311,100,39,402
