converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
38,142,308,100,120,408
44,142,367,100,136,410
67,142,327,100,139,415
25,131,348,100,116,385
,,,100,10000,0
67,141,449,100,138,387
25,123,21,100,98,426
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
26,132,370,100,104,91
21,103,87,100,90,411
27,132,9,100,111,384
,,,100,10000,0
27,138,222,100,109,419
,,,100,10000,0
69,138,325,100,133,387
,,,100,10000,0
51,142,438,100,122,378
23,115,69,100,99,357
74,142,402,100,140,369
,,,100,10000,0
23,119,163,100,91,391
21,104,39,100,93,404
27,136,25,100,108,358
,,,100,10000,0
25,126,26,100,99,391
,,,100,10000,0
30,139,340,100,99,362
36,141,135,100,121,396
61,142,401,100,125,357
27,138,70,100,122,399
26,132,340,100,106,380
30,142,428,100,109,368
25,130,153,100,119,417
86,142,321,100,137,405
25,129,84,100,109,6
23,120,371,100,106,391
23,122,334,100,92,343
,,,100,10000,0
49,136,116,100,130,395
21,112,394,100,99,386
21,104,30,100,95,405
46,142,370,100,128,355
,,,100,10000,0
27,142,423,100,126,421
34,120,272,100,94,362
27,134,27,100,90,387
54,142,444,100,139,407
,,,100,10000,0
25,131,248,100,116,323
47,141,306,100,121,356
44,142,433,100,114,375
25,127,39,100,85,404
23,115,68,100,82,415
25,127,70,100,103,379
23,113,36,100,93,397
41,142,395,100,112,396
17,85,49,100,68,367
71,142,387,100,133,2
19,95,63,100,85,381
82,130,260,100,109,27
39,142,326,100,128,401
27,135,59,100,124,388
17,92,432,100,74,368
50,141,87,100,118,349
52,142,318,100,128,329
27,135,36,100,118,350
