converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
,,,200,10000,0
132,53,295,200,52,300
,,,200,10000,0
110,48,299,200,47,325
70,49,301,200,47,324
,,,200,10000,0
109,55,270,200,54,314
88,63,106,200,62,309
86,65,170,200,62,282
89,70,247,200,68,288
109,67,198,200,63,311
86,55,289,200,54,310
94,44,237,200,44,327
87,56,55,200,54,303
106,55,211,200,52,324
53,58,273,200,57,293
147,49,119,200,49,311
,,,200,10000,0
115,55,280,200,52,334
118,61,263,200,58,295
98,48,303,200,47,326
187,54,169,200,54,310
186,68,264,200,68,271
79,58,283,200,57,302
74,66,268,200,64,288
110,55,286,200,54,321
78,59,264,200,57,307
90,49,288,200,49,325
140,58,279,200,57,311
198,65,261,200,65,298
80,66,269,200,65,284
73,53,297,200,52,313
134,45,296,200,43,347
117,54,143,200,54,320
118,58,260,200,57,319
103,49,298,200,49,340
56,63,26,200,62,290
102,60,256,200,60,309
95,47,306,200,47,344
89,55,190,200,54,308
159,56,80,200,54,292
80,44,312,200,44,341
96,55,268,200,54,324
,,,200,10000,0
173,53,278,200,52,301
117,51,210,200,51,231
,,,200,10000,0
77,55,215,200,54,306
123,55,213,200,54,311
82,69,252,200,64,287
91,59,250,200,58,321
124,48,278,200,47,326
,,,200,10000,0
67,70,257,200,68,279
,,,200,10000,0
,,,200,10000,0
,,,200,10000,0
123,56,219,200,54,323
96,60,258,200,57,282
79,49,303,200,49,342
116,57,288,200,57,313
141,54,294,200,54,332
71,60,275,200,57,293
145,66,174,200,65,288
66,69,267,200,68,287
113,65,256,200,65,279
,,,200,10000,0
104,44,302,200,43,334
88,55,272,200,54,327
