converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
51,62,310,100,57,336
68,64,304,100,51,319
68,68,296,100,50,331
70,66,318,100,54,327
56,63,24,100,58,345
56,66,291,100,60,337
51,59,56,100,57,328
63,65,140,100,54,331
56,65,305,100,59,296
41,50,123,100,44,338
61,64,311,100,54,8
52,62,355,100,50,344
50,57,322,100,57,332
55,62,326,100,50,336
51,58,73,100,54,313
61,69,70,100,55,314
86,66,331,100,61,316
67,75,272,100,50,343
52,54,304,100,51,339
57,57,322,100,50,338
61,66,12,100,55,321
62,71,300,100,55,324
51,59,20,100,55,312
64,55,347,100,49,340
56,66,107,100,59,314
69,70,293,100,50,327
47,57,328,100,56,319
62,59,310,100,50,326
61,68,8,100,57,326
66,75,147,100,73,284
74,69,171,100,58,315
61,65,8,100,60,319
58,67,332,100,57,322
83,74,349,100,50,333
56,62,19,100,58,318
70,55,266,100,50,318
56,64,78,100,57,330
55,62,303,100,58,329
51,59,134,100,55,315
53,62,299,100,59,337
44,52,339,100,48,346
64,69,316,100,59,311
78,66,90,100,50,334
52,60,306,100,55,306
47,56,323,100,50,363
51,59,75,100,54,296
61,69,109,100,59,315
63,68,89,100,60,307
49,56,163,100,54,307
58,67,303,100,59,316
52,62,324,100,56,317
79,83,296,100,50,333
54,60,317,100,56,328
51,53,40,100,49,318
65,69,344,100,50,329
55,58,308,100,57,328
