converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
197,60,295,200,58,311
103,60,284,200,60,294
158,70,259,200,68,259
82,47,310,200,47,324
,,,200,10000,0
93,48,320,200,48,338
97,55,288,200,54,321
64,53,306,200,52,314
75,55,311,200,54,299
95,68,259,200,68,274
76,60,272,200,55,301
139,51,213,200,51,229
149,80,250,200,79,229
75,55,302,200,54,302
71,68,266,200,68,275
98,70,257,200,70,273
84,54,174,200,54,314
87,55,167,200,52,329
98,52,298,200,52,311
,,,200,10000,0
101,55,290,200,54,302
101,49,308,200,47,336
158,44,81,200,43,322
,,,200,10000,0
79,60,278,200,59,281
129,49,305,200,49,326
,,,200,10000,0
129,49,321,200,49,329
98,64,270,200,63,280
151,49,307,200,49,337
93,65,283,200,65,288
63,64,267,200,62,301
90,52,290,200,50,323
89,58,286,200,57,308
199,55,307,200,54,4
79,47,72,200,47,327
92,58,154,200,54,310
101,61,290,200,54,322
149,56,106,200,55,318
111,48,304,200,47,347
67,60,292,200,58,305
128,56,301,200,54,325
79,54,114,200,54,318
97,58,285,200,58,321
67,61,204,200,61,195
107,60,299,200,57,315
80,55,126,200,54,322
94,69,266,200,64,286
72,70,277,200,68,258
118,49,317,200,47,322
133,76,181,200,75,250
119,73,264,200,73,292
64,61,279,200,57,335
195,50,307,200,50,318
77,60,280,200,57,306
79,58,295,200,58,310
91,59,278,200,58,312
147,59,286,200,57,312
125,54,160,200,54,303
