converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
51,62,298,100,60,320
67,74,294,100,53,312
56,64,121,100,56,320
51,59,101,100,56,326
68,75,164,100,58,294
51,61,61,100,57,335
52,61,317,100,56,342
56,63,158,100,58,322
68,61,319,100,56,325
61,68,199,100,58,342
61,71,156,100,56,326
66,70,70,100,66,324
65,68,106,100,64,319
60,67,293,100,63,299
51,57,8,100,55,334
82,56,339,100,50,347
71,69,96,100,56,3
56,61,2,100,57,325
100,51,355,100,51,355
61,68,205,100,57,337
74,74,169,100,54,302
56,61,38,100,49,330
51,59,147,100,54,324
72,55,331,100,50,337
54,60,318,100,58,299
66,73,97,100,58,47
92,102,316,100,72,317
65,59,350,100,50,354
56,64,63,100,63,308
51,59,24,100,56,324
51,59,103,100,56,325
66,70,14,100,65,294
67,62,146,100,50,326
41,49,85,100,49,338
58,66,210,100,55,317
65,67,295,100,60,312
63,72,305,100,57,321
80,67,236,100,57,322
82,86,296,100,66,277
56,64,68,100,55,325
51,62,308,100,55,331
51,58,25,100,56,324
68,71,87,100,62,307
50,57,319,100,56,343
64,70,334,100,58,322
51,60,74,100,55,319
62,66,31,100,63,1
51,58,141,100,55,327
63,62,135,100,57,7
51,59,98,100,57,317
51,58,49,100,57,335
70,77,330,100,56,333
61,65,60,100,57,323
80,79,292,100,62,318
