converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
,,,100,10000,0
40,47,332,100,41,368
,,,100,10000,0
36,47,348,100,41,380
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,49,39,100,37,389
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
38,44,195,100,37,366
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
31,40,103,100,36,387
,,,100,10000,0
43,51,311,100,35,405
36,46,323,100,36,383
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
56,57,332,100,51,361
39,46,350,100,38,379
44,51,187,100,36,6
38,44,352,100,37,374
,,,100,10000,0
36,44,35,100,38,378
,,,100,10000,0
48,54,124,100,42,375
,,,100,10000,0
,,,100,10000,0
46,56,337,100,38,380
41,50,131,100,42,376
,,,100,10000,0
47,56,321,100,43,9
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
31,38,38,100,35,371
41,48,72,100,40,379
36,46,331,100,38,368
,,,100,10000,0
,,,100,10000,0
41,48,23,100,44,3
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
47,56,346,100,44,360
36,43,194,100,35,403
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
42,45,203,100,41,363
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,49,39,100,43,406
41,51,322,100,40,367
42,47,351,100,35,393
,,,100,10000,0
44,52,322,100,38,388
36,45,184,100,37,373
,,,100,10000,0
36,44,140,100,37,1
31,39,191,100,37,362
46,55,162,100,37,382
76,84,317,100,69,361
,,,100,10000,0
,,,100,10000,0
36,44,183,100,40,353
36,43,155,100,38,380
,,,100,10000,0
,,,100,10000,0
36,44,178,100,37,369
41,49,319,100,40,347
,,,100,10000,0
93,102,221,100,95,338
40,46,339,100,38,3
,,,100,10000,0
36,44,113,100,39,386
,,,100,10000,0
43,51,352,100,34,380
,,,100,10000,0
,,,100,10000,0
75,80,327,100,67,14
36,44,137,100,37,369
,,,100,10000,0
45,52,320,100,44,342
84,85,280,100,70,385
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
46,51,354,100,39,402
36,44,92,100,35,369
31,42,328,100,37,382
,,,100,10000,0
,,,100,10000,0
36,45,322,100,39,354
,,,100,10000,0
41,49,228,100,36,348
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
36,45,124,100,38,372
,,,100,10000,0
38,44,317,100,36,2
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
47,54,327,100,43,2
,,,100,10000,0
77,84,325,100,54,378
36,44,104,100,36,387
43,49,326,100,41,364
,,,100,10000,0
44,50,330,100,38,364
