converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
51,59,54,100,55,314
60,67,298,100,51,339
56,67,271,100,57,307
59,54,290,100,49,329
51,60,60,100,56,290
56,66,150,100,58,320
52,62,288,100,50,324
51,59,15,100,56,312
56,65,76,100,58,310
61,62,18,100,57,311
51,58,69,100,56,328
56,63,95,100,58,346
51,59,66,100,55,324
78,68,282,100,50,329
46,55,146,100,54,315
56,65,155,100,55,332
51,56,12,100,55,318
57,65,266,100,57,306
52,56,150,100,50,305
55,61,173,100,54,300
51,59,108,100,48,325
60,65,286,100,50,321
58,67,293,100,54,325
53,62,296,100,61,309
71,76,288,100,51,325
61,71,256,100,57,316
61,70,100,100,54,309
54,62,285,100,58,331
56,64,114,100,58,303
64,67,156,100,57,320
51,62,292,100,55,310
60,66,149,100,54,4
58,67,281,100,54,312
52,61,266,100,54,283
50,53,285,100,50,332
61,64,9,100,55,324
80,76,261,100,55,315
53,62,306,100,60,313
67,73,286,100,49,358
46,55,81,100,55,336
51,61,285,100,56,330
64,63,81,100,56,334
46,57,276,100,55,309
62,63,318,100,50,337
43,50,307,100,45,339
66,76,276,100,56,311
78,70,261,100,65,315
53,62,302,100,55,331
56,54,207,100,50,321
58,65,285,100,56,2
51,59,20,100,55,314
51,58,131,100,56,319
60,67,296,100,56,4
56,54,207,100,50,321
