converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
33,39,380,100,39,400
39,39,389,100,39,407
39,39,361,100,39,415
43,41,277,100,39,409
35,39,294,100,39,396
49,41,377,100,39,399
43,39,239,100,39,382
42,39,307,100,39,390
55,39,278,100,39,392
35,39,81,100,39,399
35,39,280,100,39,401
57,39,373,100,39,378
37,39,175,100,39,406
45,39,369,100,39,405
39,40,391,100,39,381
36,39,390,100,39,408
39,41,224,100,39,407
31,41,395,100,39,385
36,39,324,100,39,394
36,42,299,100,39,404
33,39,289,100,39,412
35,41,365,100,39,399
42,41,393,100,39,389
43,43,376,100,39,399
31,41,279,100,39,405
31,39,355,100,39,411
46,40,398,100,39,413
71,40,62,100,40,379
36,41,386,100,39,413
42,39,278,100,39,399
38,39,301,100,39,372
35,39,309,100,39,404
42,41,291,100,39,372
31,39,375,100,39,392
40,40,200,100,39,400
37,40,384,100,39,420
43,40,354,100,39,388
48,42,379,100,39,401
50,41,339,100,39,405
36,39,301,100,39,404
44,40,268,100,39,392
55,40,266,100,39,400
53,39,52,100,39,408
54,39,281,100,39,377
37,39,218,100,39,403
53,39,267,100,39,389
51,39,365,100,39,394
39,39,185,100,39,393
46,39,323,100,39,399
36,39,129,100,39,396
35,39,377,100,39,382
36,40,368,100,39,397
39,40,386,100,39,385
55,41,353,100,39,401
38,41,355,100,39,386
53,39,323,100,39,399
39,39,370,100,39,403
37,39,397,100,39,412
45,39,172,100,39,375
35,40,381,100,39,403
38,40,358,100,39,386
46,39,374,100,39,410
31,39,379,100,39,414
47,39,323,100,39,406
37,40,369,100,39,406
44,39,325,100,39,414
44,40,376,100,39,395
32,39,308,100,39,414
36,40,368,100,39,390
42,39,375,100,39,405
46,40,358,100,39,399
38,39,362,100,39,407
57,39,357,100,39,390
34,39,337,100,39,407
34,39,202,100,39,400
35,40,390,100,39,383
38,39,137,100,39,377
35,39,112,100,39,407
58,40,342,100,39,396
36,39,230,100,39,406
36,43,371,100,39,399
49,40,385,100,39,374
36,40,383,100,39,406
34,41,382,100,39,378
45,41,384,100,39,385
36,41,367,100,39,388
