converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
31,40,390,100,39,412
36,39,298,100,39,419
39,40,395,100,39,394
44,39,391,100,39,408
56,40,396,100,39,407
34,39,394,100,39,398
44,40,402,100,39,371
33,40,410,100,39,424
34,40,398,100,39,409
63,64,343,100,64,339
38,40,387,100,39,405
39,39,389,100,39,388
43,39,332,100,39,401
43,41,409,100,39,393
42,39,386,100,39,397
36,40,396,100,39,402
32,39,270,100,39,385
35,39,332,100,39,407
36,40,403,100,39,420
35,40,383,100,39,394
38,40,386,100,39,413
32,39,369,100,39,392
38,39,294,100,39,391
72,39,355,100,39,398
38,39,350,100,39,418
33,40,387,100,39,402
38,40,363,100,39,399
36,39,386,100,39,385
31,40,397,100,39,387
41,39,349,100,39,404
56,39,171,100,39,404
31,39,370,100,39,398
35,40,401,100,39,402
32,39,322,100,39,401
46,41,379,100,39,396
40,39,330,100,39,403
36,39,414,100,39,416
40,39,384,100,39,406
44,39,368,100,39,409
44,39,400,100,39,404
35,39,297,100,39,416
37,39,398,100,39,416
34,39,304,100,39,398
39,40,397,100,39,370
36,39,356,100,39,387
43,40,400,100,39,398
39,39,416,100,39,412
43,39,307,100,39,380
41,39,413,100,39,398
34,41,391,100,39,393
40,39,308,100,39,416
47,39,307,100,39,400
42,42,156,100,39,416
50,39,389,100,39,369
37,39,391,100,39,400
