converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
41,48,29,100,42,369
,,,100,10000,0
40,46,361,100,38,379
,,,100,10000,0
,,,100,10000,0
41,49,203,100,37,390
38,47,389,100,36,385
41,46,120,100,36,395
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
36,44,205,100,36,391
,,,100,10000,0
41,51,363,100,40,389
,,,100,10000,0
,,,100,10000,0
41,44,96,100,36,409
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
87,76,358,100,63,365
,,,100,10000,0
,,,100,10000,0
36,44,120,100,38,366
42,52,341,100,42,362
,,,100,10000,0
,,,100,10000,0
57,58,356,100,52,388
46,52,10,100,44,383
46,53,116,100,38,375
41,48,362,100,40,378
46,57,356,100,49,374
,,,100,10000,0
41,44,362,100,38,368
,,,100,10000,0
50,54,370,100,40,377
46,55,179,100,43,367
55,57,326,100,48,347
39,47,363,100,35,384
41,51,211,100,36,391
,,,100,10000,0
46,50,8,100,42,371
41,48,135,100,37,382
32,42,388,100,35,2
,,,100,10000,0
41,50,259,100,44,369
,,,100,10000,0
95,84,380,100,66,3
,,,100,10000,0
45,49,370,100,41,371
36,43,127,100,37,387
41,50,212,100,43,369
41,50,362,100,44,373
34,42,354,100,37,2
37,47,383,100,37,377
41,48,376,100,41,2
36,45,133,100,36,370
36,45,206,100,36,369
,,,100,10000,0
46,54,182,100,36,385
36,47,360,100,35,6
46,54,96,100,42,384
,,,100,10000,0
,,,100,10000,0
33,42,379,100,38,384
,,,100,10000,0
,,,100,10000,0
48,55,96,100,44,376
,,,100,10000,0
36,45,369,100,36,368
46,54,205,100,42,380
,,,100,10000,0
33,40,144,100,39,388
86,87,142,100,73,360
41,48,24,100,41,369
51,58,265,100,43,373
36,43,84,100,37,372
51,59,317,100,49,4
40,47,331,100,39,386
,,,100,10000,0
41,48,65,100,39,356
,,,100,10000,0
36,43,10,100,36,375
,,,100,10000,0
34,41,373,100,37,390
48,54,190,100,46,357
32,42,376,100,33,386
