converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
44,42,224,100,39,383
39,40,346,100,39,397
43,39,145,100,39,385
41,39,333,100,39,372
57,65,334,100,39,392
39,40,324,100,39,382
34,39,186,100,39,395
52,40,345,100,39,386
55,39,272,100,39,403
45,41,360,100,39,379
56,41,342,100,39,400
37,41,379,100,39,387
40,39,289,100,39,400
39,39,342,100,39,423
35,39,383,100,39,407
35,39,145,100,39,402
43,39,377,100,39,400
55,39,374,100,39,408
44,39,217,100,39,404
37,40,381,100,39,411
41,39,293,100,39,400
54,39,366,100,39,415
45,39,275,100,39,393
39,39,258,100,39,370
37,39,170,100,39,380
33,39,345,100,39,396
38,39,366,100,39,412
34,39,284,100,39,388
36,41,346,100,39,394
33,39,327,100,39,369
44,43,282,100,39,381
36,40,278,100,39,415
39,39,283,100,39,402
39,40,177,100,39,412
40,40,300,100,39,388
55,40,330,100,39,420
37,41,242,100,39,390
51,40,383,100,39,415
34,40,361,100,39,368
43,39,303,100,39,395
41,39,363,100,39,403
58,39,269,100,39,405
35,39,300,100,39,412
48,40,371,100,39,396
34,39,312,100,39,403
43,39,281,100,39,393
41,40,375,100,39,400
38,39,267,100,39,372
37,39,285,100,39,405
33,40,365,100,39,393
33,39,348,100,39,404
42,41,373,100,39,405
40,40,247,100,39,407
37,39,355,100,39,408
37,39,156,100,39,396
49,39,363,100,39,393
36,40,369,100,39,404
42,41,365,100,39,405
39,39,295,100,39,401
31,39,292,100,39,410
36,40,374,100,39,396
38,39,258,100,39,397
35,39,158,100,39,397
