converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
95,55,233,200,54,294
183,57,309,200,57,295
,,,200,10000,0
137,66,266,200,65,306
63,60,301,200,57,308
145,70,277,200,69,265
86,60,288,200,57,298
87,54,317,200,52,307
183,44,272,200,43,341
154,68,268,200,68,282
,,,200,10000,0
69,71,273,200,68,283
90,54,307,200,54,317
93,60,263,200,60,295
75,59,308,200,57,319
76,65,80,200,65,306
89,58,305,200,58,293
120,55,309,200,52,302
115,59,308,200,57,294
68,57,153,200,57,304
54,54,306,200,52,328
101,60,279,200,59,288
134,44,336,200,44,352
136,50,319,200,49,339
85,60,56,200,57,279
63,66,287,200,64,289
99,58,301,200,58,314
138,50,244,200,48,335
132,64,293,200,63,279
108,57,307,200,57,308
69,55,300,200,54,304
,,,200,10000,0
105,54,311,200,54,324
128,61,304,200,57,311
116,55,177,200,54,307
112,53,320,200,52,309
169,50,332,200,47,332
166,55,229,200,54,313
150,48,337,200,47,332
87,55,332,200,52,355
99,60,295,200,58,280
88,66,200,200,55,310
64,60,139,200,58,303
165,58,318,200,57,292
94,60,290,200,57,284
118,59,291,200,58,316
88,55,310,200,52,308
168,54,174,200,54,300
,,,200,10000,0
,,,200,10000,0
,,,200,10000,0
159,55,151,200,54,318
137,58,306,200,57,329
101,60,226,200,54,313
,,,200,10000,0
162,55,308,200,54,302
91,55,315,200,54,291
164,65,289,200,64,289
76,54,154,200,54,303
,,,200,10000,0
81,65,294,200,65,286
