converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
44,39,223,100,39,414
32,39,315,100,39,403
50,42,363,100,39,361
43,40,223,100,39,396
56,41,384,100,39,373
42,39,408,100,39,390
51,39,308,100,39,390
41,39,310,100,39,390
34,39,322,100,39,380
31,39,328,100,39,395
41,43,352,100,39,384
45,41,385,100,39,395
41,39,406,100,39,390
38,40,422,100,39,355
46,40,381,100,39,396
34,41,381,100,39,388
50,39,292,100,39,400
40,39,398,100,39,407
49,40,423,100,39,410
42,40,193,100,39,399
43,39,336,100,39,403
39,39,351,100,39,413
46,41,371,100,39,389
43,40,405,100,39,383
35,39,216,100,39,398
34,39,335,100,39,395
44,40,403,100,39,413
33,39,307,100,39,397
60,40,394,100,39,393
45,39,395,100,39,377
40,39,279,100,39,399
57,41,382,100,40,401
36,39,389,100,39,404
56,39,386,100,39,410
53,40,408,100,39,385
38,39,360,100,39,405
48,40,271,100,39,379
39,39,378,100,39,395
33,39,400,100,39,416
52,40,394,100,39,401
37,39,310,100,39,403
53,39,413,100,39,395
32,40,407,100,39,409
56,40,201,100,39,376
36,41,207,100,39,399
40,39,288,100,39,395
42,39,422,100,39,412
53,39,291,100,39,402
38,39,397,100,39,400
69,64,199,100,64,377
43,39,317,100,39,404
37,39,334,100,39,409
42,39,305,100,39,406
58,39,291,100,39,395
52,40,397,100,39,421
44,40,405,100,39,407
36,39,176,100,39,399
37,39,314,100,39,395
