converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
23,113,17,100,97,407
,,,100,10000,0
27,133,89,100,123,391
,,,100,10000,0
27,133,17,100,111,2
21,105,10,100,83,431
32,142,368,100,113,432
23,116,82,100,97,379
47,136,307,100,112,391
,,,100,10000,0
,,,100,10000,0
67,142,363,100,137,36
48,142,368,100,128,317
51,142,309,100,121,413
29,140,334,100,118,386
60,140,131,100,127,309
64,141,144,100,74,381
25,123,105,100,102,393
27,136,40,100,125,404
55,142,363,100,142,421
,,,100,10000,0
,,,100,10000,0
72,131,77,100,105,323
53,142,303,100,137,377
,,,100,10000,0
22,111,342,100,104,384
25,127,177,100,115,385
34,140,365,100,103,2
25,132,393,100,100,390
15,74,65,100,67,375
25,124,52,100,114,421
,,,100,10000,0
17,84,29,100,70,376
25,126,66,100,115,359
36,142,320,100,136,415
28,142,394,100,121,347
,,,100,10000,0
74,140,333,100,126,3
49,142,391,100,139,417
81,142,404,100,142,391
21,109,193,100,92,402
25,126,10,100,113,404
49,142,295,100,132,390
,,,100,10000,0
29,142,381,100,122,382
,,,100,10000,0
,,,100,10000,0
23,116,25,100,105,387
,,,100,10000,0
33,142,234,100,137,312
27,136,25,100,98,419
21,101,4,100,90,122
,,,100,10000,0
23,115,30,100,97,363
21,106,37,100,88,362
27,139,165,100,118,373
23,115,55,100,97,414
,,,100,10000,0
25,128,352,100,99,388
27,134,11,100,91,54
49,134,221,100,89,386
88,141,372,100,138,394
26,132,283,100,122,399
23,112,11,100,87,392
19,96,31,100,82,2
41,142,346,100,125,369
23,109,7,100,97,7
54,141,258,100,123,395
40,141,336,100,94,346
25,130,144,100,112,377
