converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
67,60,305,200,58,314
179,48,338,200,47,345
77,60,302,200,57,302
152,59,267,200,57,318
190,61,289,200,58,293
,,,200,10000,0
131,53,333,200,52,311
109,55,116,200,54,322
100,58,162,200,57,300
,,,200,10000,0
183,53,325,200,53,302
148,55,302,200,55,309
128,61,218,200,59,290
90,49,300,200,48,313
90,55,295,200,54,316
96,61,305,200,57,314
114,61,309,200,58,300
94,54,326,200,54,308
114,55,305,200,54,311
99,44,341,200,44,328
77,68,283,200,68,301
161,60,322,200,58,304
,,,200,10000,0
114,54,305,200,54,325
129,58,165,200,58,298
116,66,285,200,62,295
175,62,299,200,62,291
105,55,328,200,55,317
53,50,290,200,49,323
,,,200,10000,0
117,55,303,200,54,309
,,,200,10000,0
153,55,134,200,54,314
115,54,307,200,52,307
100,52,335,200,52,311
125,55,324,200,54,315
77,69,280,200,68,287
97,60,300,200,57,303
66,64,94,200,64,292
65,57,312,200,57,295
93,64,295,200,63,291
,,,200,10000,0
85,60,294,200,57,307
100,49,305,200,49,317
175,56,308,200,54,297
146,68,275,200,68,288
124,61,237,200,57,312
,,,200,10000,0
138,54,308,200,54,294
,,,200,10000,0
63,60,308,200,57,298
169,55,157,200,55,302
,,,200,10000,0
99,55,316,200,54,327
97,59,306,200,57,291
183,47,339,200,47,327
,,,200,10000,0
182,82,269,200,79,238
199,47,321,200,47,342
151,60,291,200,60,303
183,72,291,200,70,265
,,,200,10000,0
,,,200,10000,0
127,55,323,200,54,300
184,66,213,200,65,272
139,71,194,200,70,264
,,,200,10000,0
137,59,296,200,54,330
87,65,283,200,65,290
