converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
52,61,298,100,53,326
54,58,152,100,50,330
61,72,329,100,56,330
46,52,31,100,50,348
56,65,76,100,56,306
56,63,119,100,54,298
48,57,302,100,55,292
61,65,300,100,54,325
49,56,310,100,50,341
60,62,119,100,55,322
46,55,105,100,46,335
56,66,330,100,57,301
46,57,303,100,54,325
51,59,68,100,56,312
47,56,89,100,54,345
51,62,301,100,58,309
61,68,26,100,56,298
51,60,85,100,56,322
91,101,310,100,80,335
51,61,163,100,55,301
41,52,307,100,47,324
51,59,63,100,54,328
56,61,24,100,56,329
56,64,30,100,56,292
50,57,327,100,55,329
50,56,301,100,55,326
44,51,319,100,46,354
42,50,94,100,43,338
57,67,323,100,57,297
45,47,115,100,45,345
61,68,15,100,58,310
61,62,124,100,53,318
59,65,111,100,55,315
63,65,290,100,56,304
53,62,304,100,54,341
62,50,327,100,50,346
41,49,66,100,45,357
65,68,294,100,50,341
61,64,7,100,60,283
56,62,43,100,50,332
61,69,115,100,50,314
56,63,13,100,50,324
51,60,63,100,54,315
51,60,63,100,54,326
62,61,154,100,58,315
46,57,310,100,56,312
67,54,315,100,51,332
52,62,278,100,53,348
51,61,294,100,55,300
51,59,90,100,55,304
54,61,283,100,45,334
61,67,292,100,53,320
97,67,294,100,58,5
56,65,80,100,59,317
