converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
36,43,207,100,37,398
33,42,348,100,34,408
41,51,267,100,37,384
,,,100,10000,0
41,49,159,100,40,388
36,43,132,100,36,387
43,52,351,100,40,375
36,43,61,100,37,365
,,,100,10000,0
44,50,335,100,46,396
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
44,51,330,100,35,364
39,45,345,100,40,373
,,,100,10000,0
,,,100,10000,0
31,40,141,100,34,383
36,44,157,100,38,376
44,49,347,100,37,391
36,47,345,100,35,393
,,,100,10000,0
,,,100,10000,0
40,47,381,100,38,393
,,,100,10000,0
,,,100,10000,0
44,51,370,100,38,378
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,52,353,100,44,384
46,54,55,100,45,358
39,47,331,100,38,382
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
46,54,136,100,42,376
41,50,345,100,35,388
36,47,370,100,33,376
36,44,164,100,36,359
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,48,348,100,38,362
,,,100,10000,0
,,,100,10000,0
71,81,313,100,67,351
,,,100,10000,0
41,48,117,100,39,393
48,56,334,100,39,368
41,48,37,100,34,375
47,56,355,100,41,379
,,,100,10000,0
36,44,137,100,35,387
,,,100,10000,0
43,51,136,100,38,375
,,,100,10000,0
,,,100,10000,0
38,44,187,100,36,365
40,43,379,100,35,377
,,,100,10000,0
37,43,357,100,34,390
46,52,179,100,41,361
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
41,47,34,100,39,370
,,,100,10000,0
46,57,336,100,36,372
,,,100,10000,0
,,,100,10000,0
41,47,17,100,37,365
41,48,76,100,42,378
41,48,169,100,39,378
36,46,352,100,37,377
41,48,31,100,37,374
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
39,46,331,100,39,355
38,47,339,100,37,370
,,,100,10000,0
31,39,212,100,36,388
,,,100,10000,0
,,,100,10000,0
85,84,227,100,71,335
43,48,174,100,37,327
,,,100,10000,0
41,47,9,100,41,393
41,48,192,100,37,387
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
40,44,348,100,39,369
51,59,338,100,41,344
41,48,77,100,40,368
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
94,78,318,100,69,330
37,41,191,100,37,368
,,,100,10000,0
41,43,18,100,37,369
,,,100,10000,0
31,39,308,100,34,381
,,,100,10000,0
36,45,57,100,37,376
78,87,309,100,66,332
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
