converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
81,142,325,100,139,389
40,142,425,100,138,411
33,142,280,100,121,406
25,124,29,100,116,340
84,142,397,100,134,331
27,134,70,100,107,403
28,142,409,100,133,405
19,102,386,100,83,3
,,,100,10000,0
42,142,274,100,136,395
30,141,96,100,121,319
24,122,310,100,103,8
25,129,345,100,90,4
27,138,49,100,124,423
21,110,292,100,92,315
27,141,322,100,120,340
,,,100,10000,0
,,,100,10000,0
21,106,54,100,78,340
26,130,125,100,120,393
21,112,354,100,102,373
69,142,269,100,141,357
40,142,352,100,128,7
77,142,299,100,142,381
23,116,97,100,95,358
,,,100,10000,0
,,,100,10000,0
30,140,160,100,115,345
27,138,55,100,112,405
32,142,316,100,106,377
26,131,332,100,106,380
35,135,218,100,126,381
28,141,371,100,132,342
26,132,298,100,121,420
,,,100,10000,0
,,,100,10000,0
25,131,400,100,91,400
25,126,31,100,105,1
25,127,53,100,89,10
,,,100,10000,0
21,104,15,100,79,370
,,,100,10000,0
21,107,69,100,86,3
,,,100,10000,0
32,142,312,100,116,2
70,142,360,100,137,2
29,142,373,100,107,332
21,103,13,100,90,322
48,142,433,100,134,322
27,137,62,100,124,418
45,142,378,100,128,322
,,,100,10000,0
23,120,195,100,90,363
27,135,73,100,125,389
24,119,111,100,91,2
87,142,357,100,134,398
41,141,125,100,121,13
57,142,322,100,123,364
46,141,405,100,121,3
27,134,23,100,103,376
26,132,229,100,103,408
37,142,327,100,127,372
25,123,4,100,113,407
68,142,343,100,131,301
23,115,23,100,105,392
23,117,58,100,102,375
,,,100,10000,0
21,106,19,100,96,396
,,,100,10000,0
